Order Id,Order Date,Order Supplier,Order Quantity,Product Category,Product Name,Product Variant,Product Brand,Product Model,Product Size,Product Price,Product Quantity,Product Hyperlink
20230001,12/30/2023,Ford,1,Fleet,Truck,Pickup,Ford,F-150 STX,,45760,1,https://www.ford.com/trucks/f150/2024/models/f150-stx/
20230001,12/30/2023,Bass Pro Shops,1,Access Equipment,Boat,Jon,Tracker Boats,Grizzly 1036,10 wide,1095,1,https://www.basspro.com/p/2024-tracker-grizzly-1036-jon
20230001,12/30/2023,,1,Access Equipment,Electric Motor,,,,,,1,
20230001,12/30/2023,,1,Access Equipment,Motor Battery,,,,,,1,
20230001,12/30/2023,Walmart,1,Portable Power,Battery Charger,,EverStart,Maxx BC40BE,40 amps,48,1,https://www.walmart.com/ip/EverStart-Maxx-40-Amp-Battery-Charger-and-Maintainer-BC40BE/438914356?sid=912b83ea-9a9f-4dae-8985-4e54d0c61a8b
20230001,12/30/2023,Amazon,2,Access Equipment,Paddle,Adjustable,Abahub,,7 feet,32.99,1,https://a.co/d/4q1kxVj
20230001,12/30/2023,Amazon,1,Access Equipment,Life Jacket,Superlite USCG Men,O'Neill,,Medium,49.95,1,https://a.co/d/9h11rWp
20230001,12/30/2023,Amazon,1,Access Equipment,Life Jacket,Superlite USCG Men,O'Neill,,Large,49.95,1,https://a.co/d/8MCvfJI
20230001,12/30/2023,Amazon,1,Access Equipment,Life Jacket,Superlite USCG Men,O'Neill,,Extra Large,49.95,1,https://a.co/d/flhHDcs
20230001,12/30/2023,Lowe's,1,Access Equipment,Ladder,Extension,Werner,,24 feet,279,1,https://www.lowes.com/pd/Werner-D1200-Aluminum-24-ft-Type-2-225-lbs-Extension-Ladder/1115317?store=1878&cm_mmc=shp-_-c-_-prd-_-bdm-_-ggl-_-CRP_SHP_LIA_BDM_Online_C-D-_-1115317-_-local-_-0-_-0&gad_source=1&gclid=CjwKCAjw47i_BhBTEiwAaJfPpi5wX17JbaaHb-J7d9fFtnbOk-V1NadNiTjMvIXu0f1r3nLxgxU-iRoC6YMQAvD_BwE&gclsrc=aw.ds
